Causas (lista reducida);Sexo;Mes de fallecimiento;Total
031 Tumor maligno de la vejiga;Ambos sexos;agosto;394
031 Tumor maligno de la vejiga;Ambos sexos;septiembre;348
031 Tumor maligno de la vejiga;Ambos sexos;octubre;389
031 Tumor maligno de la vejiga;Ambos sexos;noviembre;425
031 Tumor maligno de la vejiga;Ambos sexos;diciembre;401
031 Tumor maligno de la vejiga;Hombres;Todos los meses;3.570
031 Tumor maligno de la vejiga;Hombres;enero;336
031 Tumor maligno de la vejiga;Hombres;febrero;265
031 Tumor maligno de la vejiga;Hombres;marzo;316
031 Tumor maligno de la vejiga;Hombres;abril;280
031 Tumor maligno de la vejiga;Hombres;mayo;275
031 Tumor maligno de la vejiga;Hombres;junio;297
031 Tumor maligno de la vejiga;Hombres;julio;278
031 Tumor maligno de la vejiga;Hombres;agosto;307
031 Tumor maligno de la vejiga;Hombres;septiembre;268
031 Tumor maligno de la vejiga;Hombres;octubre;310
031 Tumor maligno de la vejiga;Hombres;noviembre;332
031 Tumor maligno de la vejiga;Hombres;diciembre;306
031 Tumor maligno de la vejiga;Mujeres;Todos los meses;929
031 Tumor maligno de la vejiga;Mujeres;enero;67
031 Tumor maligno de la vejiga;Mujeres;febrero;69
031 Tumor maligno de la vejiga;Mujeres;marzo;82
031 Tumor maligno de la vejiga;Mujeres;abril;69
031 Tumor maligno de la vejiga;Mujeres;mayo;69
031 Tumor maligno de la vejiga;Mujeres;junio;75
031 Tumor maligno de la vejiga;Mujeres;julio;64
031 Tumor maligno de la vejiga;Mujeres;agosto;87
031 Tumor maligno de la vejiga;Mujeres;septiembre;80
031 Tumor maligno de la vejiga;Mujeres;octubre;79
031 Tumor maligno de la vejiga;Mujeres;noviembre;93
031 Tumor maligno de la vejiga;Mujeres;diciembre;95
032 Otros tumores malignos de las vías urinarias;Ambos sexos;Todos los meses;2.019
032 Otros tumores malignos de las vías urinarias;Ambos sexos;enero;178
032 Otros tumores malignos de las vías urinarias;Ambos sexos;febrero;132
032 Otros tumores malignos de las vías urinarias;Ambos sexos;marzo;187
032 Otros tumores malignos de las vías urinarias;Ambos sexos;abril;166
032 Otros tumores malignos de las vías urinarias;Ambos sexos;mayo;157
032 Otros tumores malignos de las vías urinarias;Ambos sexos;junio;159
032 Otros tumores malignos de las vías urinarias;Ambos sexos;julio;171
032 Otros tumores malignos de las vías urinarias;Ambos sexos;agosto;175
032 Otros tumores malignos de las vías urinarias;Ambos sexos;septiembre;169
032 Otros tumores malignos de las vías urinarias;Ambos sexos;octubre;177
032 Otros tumores malignos de las vías urinarias;Ambos sexos;noviembre;178
032 Otros tumores malignos de las vías urinarias;Ambos sexos;diciembre;170
032 Otros tumores malignos de las vías urinarias;Hombres;Todos los meses;1.520
032 Otros tumores malignos de las vías urinarias;Hombres;enero;127
032 Otros tumores malignos de las vías urinarias;Hombres;febrero;87
032 Otros tumores malignos de las vías urinarias;Hombres;marzo;146
032 Otros tumores malignos de las vías urinarias;Hombres;abril;125
032 Otros tumores malignos de las vías urinarias;Hombres;mayo;119
032 Otros tumores malignos de las vías urinarias;Hombres;junio;126
032 Otros tumores malignos de las vías urinarias;Hombres;julio;126
032 Otros tumores malignos de las vías urinarias;Hombres;agosto;127
032 Otros tumores malignos de las vías urinarias;Hombres;septiembre;127
032 Otros tumores malignos de las vías urinarias;Hombres;octubre;128
032 Otros tumores malignos de las vías urinarias;Hombres;noviembre;146
032 Otros tumores malignos de las vías urinarias;Hombres;diciembre;136
032 Otros tumores malignos de las vías urinarias;Mujeres;Todos los meses;499
032 Otros tumores malignos de las vías urinarias;Mujeres;enero;51
032 Otros tumores malignos de las vías urinarias;Mujeres;febrero;45
032 Otros tumores malignos de las vías urinarias;Mujeres;marzo;41
032 Otros tumores malignos de las vías urinarias;Mujeres;abril;41
032 Otros tumores malignos de las vías urinarias;Mujeres;mayo;38
032 Otros tumores malignos de las vías urinarias;Mujeres;junio;33
032 Otros tumores malignos de las vías urinarias;Mujeres;julio;45
032 Otros tumores malignos de las vías urinarias;Mujeres;agosto;48
032 Otros tumores malignos de las vías urinarias;Mujeres;septiembre;42
032 Otros tumores malignos de las vías urinarias;Mujeres;octubre;49
032 Otros tumores malignos de las vías urinarias;Mujeres;noviembre;32
032 Otros tumores malignos de las vías urinarias;Mujeres;diciembre;34
033 Tumor maligno del encéfalo;Ambos sexos;Todos los meses;3.397
033 Tumor maligno del encéfalo;Ambos sexos;enero;248
033 Tumor maligno del encéfalo;Ambos sexos;febrero;283
033 Tumor maligno del encéfalo;Ambos sexos;marzo;284
033 Tumor maligno del encéfalo;Ambos sexos;abril;275
033 Tumor maligno del encéfalo;Ambos sexos;mayo;282
033 Tumor maligno del encéfalo;Ambos sexos;junio;299
033 Tumor maligno del encéfalo;Ambos sexos;julio;316
033 Tumor maligno del encéfalo;Ambos sexos;agosto;283
033 Tumor maligno del encéfalo;Ambos sexos;septiembre;277
033 Tumor maligno del encéfalo;Ambos sexos;octubre;271
033 Tumor maligno del encéfalo;Ambos sexos;noviembre;274
033 Tumor maligno del encéfalo;Ambos sexos;diciembre;305
033 Tumor maligno del encéfalo;Hombres;Todos los meses;1.861
033 Tumor maligno del encéfalo;Hombres;enero;140
033 Tumor maligno del encéfalo;Hombres;febrero;162
033 Tumor maligno del encéfalo;Hombres;marzo;155
033 Tumor maligno del encéfalo;Hombres;abril;150
033 Tumor maligno del encéfalo;Hombres;mayo;158
033 Tumor maligno del encéfalo;Hombres;junio;156
033 Tumor maligno del encéfalo;Hombres;julio;188
033 Tumor maligno del encéfalo;Hombres;agosto;146
033 Tumor maligno del encéfalo;Hombres;septiembre;163
033 Tumor maligno del encéfalo;Hombres;octubre;143
033 Tumor maligno del encéfalo;Hombres;noviembre;142
033 Tumor maligno del encéfalo;Hombres;diciembre;158
033 Tumor maligno del encéfalo;Mujeres;Todos los meses;1.536
033 Tumor maligno del encéfalo;Mujeres;enero;108
033 Tumor maligno del encéfalo;Mujeres;febrero;121
033 Tumor maligno del encéfalo;Mujeres;marzo;129
033 Tumor maligno del encéfalo;Mujeres;abril;125
033 Tumor maligno del encéfalo;Mujeres;mayo;124
033 Tumor maligno del encéfalo;Mujeres;junio;143
033 Tumor maligno del encéfalo;Mujeres;julio;128
033 Tumor maligno del encéfalo;Mujeres;agosto;137
033 Tumor maligno del encéfalo;Mujeres;septiembre;114
033 Tumor maligno del encéfalo;Mujeres;octubre;128
033 Tumor maligno del encéfalo;Mujeres;noviembre;132
033 Tumor maligno del encéfalo;Mujeres;diciembre;147
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;Todos los meses;662
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;enero;48
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;febrero;51
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;marzo;58
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;abril;60
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;mayo;42
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;junio;67
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;julio;54
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;agosto;66
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;septiembre;47
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;octubre;56
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;noviembre;55
034 Otros tumores malignos neurológicos y endocrinos;Ambos sexos;diciembre;58
034 Otros tumores malignos neurológicos y endocrinos;Hombres;Todos los meses;286
034 Otros tumores malignos neurológicos y endocrinos;Hombres;enero;20
034 Otros tumores malignos neurológicos y endocrinos;Hombres;febrero;24
034 Otros tumores malignos neurológicos y endocrinos;Hombres;marzo;20
034 Otros tumores malignos neurológicos y endocrinos;Hombres;abril;27
034 Otros tumores malignos neurológicos y endocrinos;Hombres;mayo;19
034 Otros tumores malignos neurológicos y endocrinos;Hombres;junio;23
034 Otros tumores malignos neurológicos y endocrinos;Hombres;julio;25
034 Otros tumores malignos neurológicos y endocrinos;Hombres;agosto;31
034 Otros tumores malignos neurológicos y endocrinos;Hombres;septiembre;19
034 Otros tumores malignos neurológicos y endocrinos;Hombres;octubre;24
034 Otros tumores malignos neurológicos y endocrinos;Hombres;noviembre;26
034 Otros tumores malignos neurológicos y endocrinos;Hombres;diciembre;28
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;Todos los meses;376
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;enero;28
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;febrero;27
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;marzo;38
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;abril;33
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;mayo;23
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;junio;44
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;julio;29
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;agosto;35
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;septiembre;28
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;octubre;32
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;noviembre;29
034 Otros tumores malignos neurológicos y endocrinos;Mujeres;diciembre;30
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;Todos los meses;4.394
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;enero;386
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;febrero;358
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;marzo;437
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;abril;364
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;mayo;348
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;junio;353
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;julio;360
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;agosto;369
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;septiembre;323
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;octubre;346
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;noviembre;351
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Ambos sexos;diciembre;399
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;Todos los meses;2.385
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;enero;192
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;febrero;164
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;marzo;257
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;abril;196
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;mayo;178
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;junio;196
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;julio;202
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;agosto;219
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;septiembre;181
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;octubre;195
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;noviembre;185
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Hombres;diciembre;220
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;Todos los meses;2.009
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;enero;194
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;febrero;194
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;marzo;180
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;abril;168
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;mayo;170
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;junio;157
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;julio;158
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;agosto;150
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;septiembre;142
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;octubre;151
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;noviembre;166
035 Tumor maligno de sitios mal definidos, secundarios y de sitios no especificados;Mujeres;diciembre;179
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;Todos los meses;4.844
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;enero;436
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;febrero;394
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;marzo;444
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;abril;372
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;mayo;430
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;junio;374
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;julio;374
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;agosto;420
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;septiembre;340
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;octubre;415
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;noviembre;386
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Ambos sexos;diciembre;459
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;Todos los meses;2.634
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;enero;243
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;febrero;211
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;marzo;237
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;abril;201
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;mayo;238
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;junio;187
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;julio;216
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;agosto;234
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;septiembre;170
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;octubre;222
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;noviembre;220
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Hombres;diciembre;255
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;Todos los meses;2.210
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;enero;193
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;febrero;183
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;marzo;207
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;abril;171
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;mayo;192
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;junio;187
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;julio;158
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;agosto;186
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;septiembre;170
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;octubre;193
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;noviembre;166
036 Tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines, excepto leucemia;Mujeres;diciembre;204
037 Leucemia;Ambos sexos;Todos los meses;3.414
037 Leucemia;Ambos sexos;enero;303
037 Leucemia;Ambos sexos;febrero;257
037 Leucemia;Ambos sexos;marzo;278
037 Leucemia;Ambos sexos;abril;281
037 Leucemia;Ambos sexos;mayo;300
037 Leucemia;Ambos sexos;junio;257
037 Leucemia;Ambos sexos;julio;265
037 Leucemia;Ambos sexos;agosto;279
037 Leucemia;Ambos sexos;septiembre;293
037 Leucemia;Ambos sexos;octubre;290
037 Leucemia;Ambos sexos;noviembre;306
037 Leucemia;Ambos sexos;diciembre;305
037 Leucemia;Hombres;Todos los meses;1.991
037 Leucemia;Hombres;enero;184
037 Leucemia;Hombres;febrero;147
037 Leucemia;Hombres;marzo;153
037 Leucemia;Hombres;abril;164
037 Leucemia;Hombres;mayo;179
037 Leucemia;Hombres;junio;145
037 Leucemia;Hombres;julio;156
037 Leucemia;Hombres;agosto;164
037 Leucemia;Hombres;septiembre;166
037 Leucemia;Hombres;octubre;159
037 Leucemia;Hombres;noviembre;187
037 Leucemia;Hombres;diciembre;187
037 Leucemia;Mujeres;Todos los meses;1.423
037 Leucemia;Mujeres;enero;119
037 Leucemia;Mujeres;febrero;110
037 Leucemia;Mujeres;marzo;125
037 Leucemia;Mujeres;abril;117
037 Leucemia;Mujeres;mayo;121
037 Leucemia;Mujeres;junio;112
037 Leucemia;Mujeres;julio;109
037 Leucemia;Mujeres;agosto;115
037 Leucemia;Mujeres;septiembre;127
037 Leucemia;Mujeres;octubre;131
037 Leucemia;Mujeres;noviembre;119
037 Leucemia;Mujeres;diciembre;118
038 Tumores in situ;Ambos sexos;Todos los meses;13
038 Tumores in situ;Ambos sexos;enero;0
038 Tumores in situ;Ambos sexos;febrero;1
038 Tumores in situ;Ambos sexos;marzo;1
038 Tumores in situ;Ambos sexos;abril;0
038 Tumores in situ;Ambos sexos;mayo;1
038 Tumores in situ;Ambos sexos;junio;2
038 Tumores in situ;Ambos sexos;julio;0
038 Tumores in situ;Ambos sexos;agosto;0
038 Tumores in situ;Ambos sexos;septiembre;2
038 Tumores in situ;Ambos sexos;octubre;1
038 Tumores in situ;Ambos sexos;noviembre;2
038 Tumores in situ;Ambos sexos;diciembre;3
038 Tumores in situ;Hombres;Todos los meses;7
038 Tumores in situ;Hombres;enero;0
038 Tumores in situ;Hombres;febrero;1
038 Tumores in situ;Hombres;marzo;0
038 Tumores in situ;Hombres;abril;0
038 Tumores in situ;Hombres;mayo;0
038 Tumores in situ;Hombres;junio;1
038 Tumores in situ;Hombres;julio;0
038 Tumores in situ;Hombres;agosto;0
038 Tumores in situ;Hombres;septiembre;2
038 Tumores in situ;Hombres;octubre;1
038 Tumores in situ;Hombres;noviembre;1
038 Tumores in situ;Hombres;diciembre;1
038 Tumores in situ;Mujeres;Todos los meses;6
038 Tumores in situ;Mujeres;enero;0
038 Tumores in situ;Mujeres;febrero;0
038 Tumores in situ;Mujeres;marzo;1
038 Tumores in situ;Mujeres;abril;0
038 Tumores in situ;Mujeres;mayo;1
038 Tumores in situ;Mujeres;junio;1
038 Tumores in situ;Mujeres;julio;0
038 Tumores in situ;Mujeres;agosto;0
038 Tumores in situ;Mujeres;septiembre;0
038 Tumores in situ;Mujeres;octubre;0
038 Tumores in situ;Mujeres;noviembre;1
038 Tumores in situ;Mujeres;diciembre;2
039 Tumores benignos;Ambos sexos;Todos los meses;588
039 Tumores benignos;Ambos sexos;enero;51
039 Tumores benignos;Ambos sexos;febrero;47
039 Tumores benignos;Ambos sexos;marzo;56
039 Tumores benignos;Ambos sexos;abril;54
039 Tumores benignos;Ambos sexos;mayo;53
039 Tumores benignos;Ambos sexos;junio;46
039 Tumores benignos;Ambos sexos;julio;49
039 Tumores benignos;Ambos sexos;agosto;58
039 Tumores benignos;Ambos sexos;septiembre;35
039 Tumores benignos;Ambos sexos;octubre;42
039 Tumores benignos;Ambos sexos;noviembre;47
039 Tumores benignos;Ambos sexos;diciembre;50
039 Tumores benignos;Hombres;Todos los meses;260
039 Tumores benignos;Hombres;enero;27
039 Tumores benignos;Hombres;febrero;26
039 Tumores benignos;Hombres;marzo;24
039 Tumores benignos;Hombres;abril;19
039 Tumores benignos;Hombres;mayo;18
039 Tumores benignos;Hombres;junio;20
039 Tumores benignos;Hombres;julio;27
039 Tumores benignos;Hombres;agosto;19
039 Tumores benignos;Hombres;septiembre;20
039 Tumores benignos;Hombres;octubre;19
039 Tumores benignos;Hombres;noviembre;17
039 Tumores benignos;Hombres;diciembre;24
039 Tumores benignos;Mujeres;Todos los meses;328
039 Tumores benignos;Mujeres;enero;24
039 Tumores benignos;Mujeres;febrero;21
039 Tumores benignos;Mujeres;marzo;32
039 Tumores benignos;Mujeres;abril;35
039 Tumores benignos;Mujeres;mayo;35
039 Tumores benignos;Mujeres;junio;26
039 Tumores benignos;Mujeres;julio;22
039 Tumores benignos;Mujeres;agosto;39
039 Tumores benignos;Mujeres;septiembre;15
039 Tumores benignos;Mujeres;octubre;23
039 Tumores benignos;Mujeres;noviembre;30
039 Tumores benignos;Mujeres;diciembre;26
040 Síndrome mielodisplásico;Ambos sexos;Todos los meses;1.115
040 Síndrome mielodisplásico;Ambos sexos;enero;102
040 Síndrome mielodisplásico;Ambos sexos;febrero;102
040 Síndrome mielodisplásico;Ambos sexos;marzo;107
040 Síndrome mielodisplásico;Ambos sexos;abril;95
040 Síndrome mielodisplásico;Ambos sexos;mayo;90
040 Síndrome mielodisplásico;Ambos sexos;junio;99
040 Síndrome mielodisplásico;Ambos sexos;julio;99
040 Síndrome mielodisplásico;Ambos sexos;agosto;92
040 Síndrome mielodisplásico;Ambos sexos;septiembre;81
040 Síndrome mielodisplásico;Ambos sexos;octubre;80
040 Síndrome mielodisplásico;Ambos sexos;noviembre;87
040 Síndrome mielodisplásico;Ambos sexos;diciembre;81
040 Síndrome mielodisplásico;Hombres;Todos los meses;623
040 Síndrome mielodisplásico;Hombres;enero;57
040 Síndrome mielodisplásico;Hombres;febrero;48
040 Síndrome mielodisplásico;Hombres;marzo;63
040 Síndrome mielodisplásico;Hombres;abril;60
040 Síndrome mielodisplásico;Hombres;mayo;48
040 Síndrome mielodisplásico;Hombres;junio;48
040 Síndrome mielodisplásico;Hombres;julio;56
040 Síndrome mielodisplásico;Hombres;agosto;55
040 Síndrome mielodisplásico;Hombres;septiembre;44
040 Síndrome mielodisplásico;Hombres;octubre;47
040 Síndrome mielodisplásico;Hombres;noviembre;49
040 Síndrome mielodisplásico;Hombres;diciembre;48
040 Síndrome mielodisplásico;Mujeres;Todos los meses;492
040 Síndrome mielodisplásico;Mujeres;enero;45
040 Síndrome mielodisplásico;Mujeres;febrero;54
040 Síndrome mielodisplásico;Mujeres;marzo;44
040 Síndrome mielodisplásico;Mujeres;abril;35
040 Síndrome mielodisplásico;Mujeres;mayo;42
040 Síndrome mielodisplásico;Mujeres;junio;51
040 Síndrome mielodisplásico;Mujeres;julio;43
040 Síndrome mielodisplásico;Mujeres;agosto;37
040 Síndrome mielodisplásico;Mujeres;septiembre;37
040 Síndrome mielodisplásico;Mujeres;octubre;33
040 Síndrome mielodisplásico;Mujeres;noviembre;38
040 Síndrome mielodisplásico;Mujeres;diciembre;33
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;Todos los meses;2.365
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;enero;228
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;febrero;186
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;marzo;192
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;abril;201
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;mayo;177
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;junio;195
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;julio;203
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;agosto;202
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;septiembre;171
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;octubre;197
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;noviembre;204
041 Otros tumores de comportamiento incierto o desconocido;Ambos sexos;diciembre;209
041 Otros tumores de comportamiento incierto o desconocido;Hombres;Todos los meses;1.243
041 Otros tumores de comportamiento incierto o desconocido;Hombres;enero;127
041 Otros tumores de comportamiento incierto o desconocido;Hombres;febrero;111
041 Otros tumores de comportamiento incierto o desconocido;Hombres;marzo;102
041 Otros tumores de comportamiento incierto o desconocido;Hombres;abril;112
041 Otros tumores de comportamiento incierto o desconocido;Hombres;mayo;93
041 Otros tumores de comportamiento incierto o desconocido;Hombres;junio;100
041 Otros tumores de comportamiento incierto o desconocido;Hombres;julio;97
041 Otros tumores de comportamiento incierto o desconocido;Hombres;agosto;97
041 Otros tumores de comportamiento incierto o desconocido;Hombres;septiembre;83
041 Otros tumores de comportamiento incierto o desconocido;Hombres;octubre;101
041 Otros tumores de comportamiento incierto o desconocido;Hombres;noviembre;114
041 Otros tumores de comportamiento incierto o desconocido;Hombres;diciembre;106
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;Todos los meses;1.122
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;enero;101
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;febrero;75
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;marzo;90
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;abril;89
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;mayo;84
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;junio;95
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;julio;106
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;agosto;105
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;septiembre;88
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;octubre;96
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;noviembre;90
041 Otros tumores de comportamiento incierto o desconocido;Mujeres;diciembre;103
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;Todos los meses;2.167
042-043 III.Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Ambos sexos;enero;245
